,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2004,1495173000000,372681000000,0,756305000000,355824000000,10363000000,88532000000,0,74636000000,0,0,5465000000,8431000000,0,1583705000000,1284465000000,1110867000000,173598000000,299240000000,297440000000,1800000000,1583705000000
2005,2020706000000,415058000000,0,1197394000000,384296000000,23958000000,198771000000,194000000,157575000000,0,8144000000,1296000000,31562000000,0,2219477000000,1607947000000,1483024000000,124923000000,611530000000,608780000000,2750000000,2219477000000
2006,3074380318744,669451697346,0,1756845240064,584485194394,63598186940,334839185691,314925000,262959434485,0,36692860276,13295852500,21576113430,0,3409219504435,1746533795253,1620359852761,126173942492,1662685709182,1659935709182,2750000000,3409219504435
2007,4342621864908,895514803431,0,1849283013633,1428218348569,169605699275,1013430480154,0,632798402384,0,8809133064,321827414410,49995530296,0,5356052345062,3131214500674,3064668868783,66545631891,2224837844388,2222087844388,2750000000,5356052345062
2008,4658263302412,1242502927497,0,1994169987920,1223957881179,197632505816,1466570854462,0,738969748822,0,221756414506,290070028679,215774662455,0,6124834156874,3222365869862,3217436936051,4928933811,2902468287012,2899718287012,2750000000,6124834156874
2009,7678505205644,2310510026631,619749470020,2545551247664,1426043318661,776651142668,2716910212438,108965000,1255566058143,0,382945644656,909809195845,162481848794,5998500000,10395415418082,6677492550374,4765832766691,1911659783683,3717922867708,3715172867708,2750000000,10395415418082
2010,8839022362540,1436127765530,563892171622,3248876343735,2448471898690,1141654182963,3465522080811,376000000,1677842822961,0,322496474075,978169714467,264922825412,221714243896,12304544443351,7255512891181,5214205804428,2041307086753,5049031552170,5046281552170,2750000000,12304544443351
2011,11372728248045,2902382823282,861597468810,3781513726520,3275849800433,551384429000,3570358291380,1028639950,1727804763732,0,423085256440,865424033772,336649236703,216366360783,14943086539425,8717275015362,8475464627022,241810388340,6225811524063,6223061524063,2750000000,14943086539425
2012,10229470211202,2318915022090,662020767658,3775642141085,2699508806652,773383473717,3979712411237,1434084775,2076665571110,0,540996358701,696285615938,447964419930,216366360783,14209182622439,7114920592482,6423196146091,691724446391,7094262029957,7091512029957,2750000000,14209182622439
2013,12908243472406,2750971144015,1443449364921,4411534370955,3328880961810,973407630705,4662313781106,1212664525,2536760573670,0,539102696805,706727341936,647002229017,231508275153,17570557253512,9316700305301,9068740122198,247960183103,8253856948211,8251106948211,2750000000,17570557253512
2014,16964332738803,4336282447769,1441486664176,5034337827055,4572636184140,1579589615663,5694011211930,0,3300546513939,0,537241674698,796508947186,726543631463,333170444644,22658343950733,13400525192639,12070343056035,1330182136604,9257818758094,9255068758094,2750000000,22658343950733
2015,18959009136105,3584709151769,2617441917720,5534209011621,5268099617220,1954549437775,7086579408323,348638580505,4292253138079,0,692575366258,727905697262,1025206626219,0,26045588544428,15863302791405,14967554324100,895748467305,10182285753023,10179535753023,2750000000,26045588544428
2016,21908662957423,6013361389774,3472087285737,6640135921823,4553808475949,1229269884140,7924598856728,380965916003,4589983193268,0,1020980424296,826327509802,1106341813359,0,29833261814151,18385186549332,17429655689537,955530859795,11448075264819,11445325264819,2750000000,29833261814151
2017,16059937820645,3480659514788,4379446212073,6151782399408,1020212423590,1027837270786,8939739075221,231657122488,5247285021701,0,805559896217,1783369007284,871868027531,0,24999676895866,11761300662093,11100344738740,660955923353,13238376233773,13235626233773,2750000000,24999676895866
2018,18406087226041,3925727206293,5568623727137,6426946279074,1340687216347,1144102797190,11350979923527,109788240927,6513735578258,0,1174778083753,2202466649730,1024193647679,326017723180,29757067149568,14982096384457,14451149990521,530946393936,14774970765111,14772220765111,2750000000,29757067149568
2019,18979176128930,3453388617569,6708978162325,6536251148622,1284200733943,996357466471,14414988134764,262484590350,7492167954088,0,1650470873492,2496552054488,2287383247074,225929415272,33394164263694,16594874862688,16102256902439,492617960249,16799289401006,16796539401006,2750000000,33394164263694
2020,25612489544931,4686191374038,12435918124269,6265411863371,1290091524352,934876658901,16121833690263,242872863326,8317822707614,0,2373393296565,2581174954052,2406535643679,200034225027,41734323235194,23128655834466,22364710509820,763945324646,18605667400728,18602917400728,2750000000,41734323235194
2021,35118372900846,5417845293242,20730720735456,6882182894987,1507342901619,580281075542,18579567995029,167244119883,10398837546784,0,1290598745684,3101993693319,3154908479032,465985410327,53697940895875,32279955665838,29761106035257,2518849630581,21417985230037,21415235230037,2750000000,53697940895875
2022,30937711076141,6440177174322,13047234131950,8502895161839,1965787736563,981616871467,20712692658989,225090876189,12032914964907,0,1062184742251,3238299217787,3746258009894,407944847961,51650403735130,26294279047318,24521161696202,1773117351116,25356124687812,25353374687812,2750000000,51650403735130
2023,36705751751876,8279156683221,16104205358010,9674343237344,1593411075233,1054635398068,23577075781023,247392102550,13643232649833,0,1315270136003,3335009108332,3752381705176,1283790079129,60282827532899,30349816316666,29651673556227,698142760439,29933011216233,29930261216233,2750000000,60282827532899
