,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,- Khấu hao TSCĐ,- Các khoản dự phòng,- Lợi nhuận thuần từ đầu tư vào công ty liên kết,- Xóa sổ tài sản cố định (thuần),- Lãi lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,- Lãi lỗ từ thanh lý TSCĐ,- Lãi lỗ từ hoạt động đầu tư,- Lãi tiền gửi,- Thu nhập lãi,- Chi phí lãi vay,- Các khoản chi trực tiếp từ lợi nhuận,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,- Tăng giảm các khoản phải thu,- Tăng giảm hàng tồn kho,- Tăng giảm các khoản phải trả (Không kể lãi vay phải trả thuế thu nhập doanh nghiệp phải nộp),- Tăng giảm chi phí trả trước,- Tăng giảm tài sản ngắn hạn khác,- Tiền lãi vay phải trả,- Thuế thu nhập doanh nghiệp đã nộp,- Tiền thu khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,2. Tiền thu từ thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,3. Tiền chi cho vay mua các công cụ nợ của đơn vị khác,4. Tiền thu hồi cho vay bán lại các công cụ nợ của các đơn vị khác,5. Đầu tư góp vốn vào công ty liên doanh liên kết,6. Chi đầu tư ngắn hạn,7. Tiền chi đầu tư góp vốn vào đơn vị khác,8. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,9. Lãi tiền gửi đã thu,10. Tiền thu lãi cho vay cổ tức và lợi nhuận được chia,11. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,Lưu chuyển tiền thuần từ hoạt động đầu tư,1. Tiền thu từ phát hành cổ phiếu nhận vốn góp của chủ sở hữu,2. Tiền chi trả vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,3. Tiền vay ngắn hạn dài hạn nhận được,4. Tiền chi trả nợ gốc vay,5. Tiền chi trả nợ thuê tài chính,6. Tiền chi khác từ hoạt động tài chính,7. Tiền chi trả từ cổ phần hóa,8. Cổ tức lợi nhuận đã trả cho chủ sở hữu,9. Vốn góp của các cổ đông thiểu số vào các công ty con,10. Chi tiêu quỹ phúc lợi xã hội,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
2002,17979000000,21543000000,12615000000,0,0,0,0,0,0,0,0,8928000000,0,39522000000,-97824000000,-34619000000,123733000000,0,0,0,0,1224000000,0,32036000000,-22028000000,0,0,0,0,0,0,2105000000,0,0,0,-19923000000,20000000000,-26705000000,64828000000,0,0,0,0,0,0,0,58123000000,70236000000,32511000000,0,102747000000
2003,43894000000,31245000000,18377000000,0,0,0,0,0,0,0,0,12868000000,0,75139000000,-343801000000,-82576000000,81497000000,0,0,0,0,0,-20801000000,-290542000000,-37533000000,0,0,0,0,0,-116000000,0,0,0,0,-37649000000,120000000000,0,185400000000,0,0,0,0,0,0,0,305400000000,-22791000000,102747000000,0,79956000000
2004,192775000000,49292000000,29479000000,363000000,0,0,0,0,-2366000000,0,0,21816000000,0,242067000000,-135106000000,-148915000000,144006000000,0,0,0,0,0,-33353000000,68699000000,-52564000000,43000000,0,0,0,0,-1559000000,0,0,2483000000,0,-51597000000,0,0,2753800000000,-2478177000000,0,0,0,0,0,0,275623000000,292725000000,79956000000,0,372681000000
2005,343893000000,86791000000,53817000000,363000000,0,0,0,0,695000000,0,0,31916000000,0,430684000000,-451926000000,-28472000000,-33287000000,0,0,0,0,0,-115964000000,-198965000000,-142137000000,-695000000,0,0,0,0,0,4169000000,0,0,0,-138663000000,136650000000,0,3764480000000,-3519035000000,0,0,0,-2090000000,0,0,380005000000,42377000000,372681000000,0,415058000000
2006,609298577265,163419938701,106819175194,-708439270,0,0,0,0,-651472711,0,0,57960675488,0,772718515966,-581095728923,-200189346901,391813876398,-1545031381,0,-57960675488,-98446379030,25780000,-89331853167,135989157474,-246629478307,651472711,0,0,0,0,-12000000000,0,0,191077000,0,-257786928596,590676161360,-18500000,5581874306556,-5761757487959,0,0,0,-34568652000,0,0,376205827957,254408056835,415058160511,-14520000,669451697346
2007,1028985307735,217620262098,170933484994,10452830284,-2911461910,224628087,-1013877186,-3020858578,0,0,0,42955516407,0,1246605569833,-193517518379,-875431474762,804844584666,-39808692475,0,-42796905355,-106309996772,0,-57435047450,736150519306,-486954802912,6678625574,0,0,0,0,-306800000000,0,0,0,-5000000000,-792076177338,11372350000,-604100000,6181524164314,-5655716255385,0,0,0,-280496149434,25908754622,0,281988764117,226063106085,669451697346,0,895514803431
2008,1240085369808,365291613128,239579866501,12782651645,43907385731,2339122283,6050173517,-19479365612,-376048442,0,0,80487827505,0,1605376982936,-180373800109,199228286404,160805132763,8908800515,0,-96013911456,-215724602526,508478969,-112078597834,1370636769662,-708045537841,38999419468,0,0,0,0,-23900000000,0,0,11750000000,-1920000000,-683116118373,18080370000,-2366850000,6138972666600,-6202511262423,0,0,0,-389311861400,96604410000,0,-340532527223,346988124066,895514803431,0,1242502927497
2009,1697522452018,325291394720,304181269102,35592523489,-61900439725,0,4275227360,0,-66555746627,0,0,109698561121,0,2022813846738,-554814304648,-203836994738,47849812446,30828005594,0,-60853123264,-170727137070,0,-587986030762,523274074296,-809932933466,46704975545,-1067420583790,0,0,0,-144122000000,0,0,78052945044,-7331500000,-1904049096667,26698930000,-3605040000,11750348530857,-8861090474506,0,0,0,-521183994846,57614170000,0,2448782121505,1068007099134,1242502927497,0,2310510026631
2010,2023193146444,52089160077,329405999993,20246387805,-87904125275,0,6764052109,0,-454570894686,0,0,238147740131,0,2075282306521,-538514304725,-1025744658403,796734112550,-51501636948,0,-250492904816,-407116316964,0,-113131548159,485515049056,-875985423639,8771598355,0,340441373368,0,0,-1190187163896,0,0,276456491097,-38409960104,-1478913084819,18146090000,2113400000,10294347714483,-9944279366412,0,0,0,-286254483409,34942420000,0,119015774662,-874382261101,2310510026631,0,1436127765530
2011,2501542976121,359874176468,375956684154,59937938863,-25369852877,0,409467514,0,-300560951351,0,0,249500890165,0,2861417152589,-290780558057,-834229232855,974370578362,-79826956983,0,-220209220032,-401260017116,0,-162897462490,1846584283418,-465352162753,12944087088,-295705297188,0,0,0,804592238800,0,0,50537846873,0,107016712820,27716100000,8249100000,11504198543665,-11305754272430,0,0,0,-728266869721,6511460000,0,-487345938486,1466255057752,1436127765530,0,2902382823282
