,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,- Khấu hao TSCĐ,- Các khoản dự phòng,- Lợi nhuận thuần từ đầu tư vào công ty liên kết,- Xóa sổ tài sản cố định (thuần),- Lãi lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,- Lãi lỗ từ thanh lý TSCĐ,- Lãi lỗ từ hoạt động đầu tư,- Lãi tiền gửi,- Thu nhập lãi,- Chi phí lãi vay,- Các khoản chi trực tiếp từ lợi nhuận,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,- Tăng giảm các khoản phải thu,- Tăng giảm hàng tồn kho,- Tăng giảm các khoản phải trả (Không kể lãi vay phải trả thuế thu nhập doanh nghiệp phải nộp),- Tăng giảm chi phí trả trước,- Tăng giảm tài sản ngắn hạn khác,- Tiền lãi vay phải trả,- Thuế thu nhập doanh nghiệp đã nộp,- Tiền thu khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,2. Tiền thu từ thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,3. Tiền chi cho vay mua các công cụ nợ của đơn vị khác,4. Tiền thu hồi cho vay bán lại các công cụ nợ của các đơn vị khác,5. Đầu tư góp vốn vào công ty liên doanh liên kết,6. Chi đầu tư ngắn hạn,7. Tiền chi đầu tư góp vốn vào đơn vị khác,8. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,9. Lãi tiền gửi đã thu,10. Tiền thu lãi cho vay cổ tức và lợi nhuận được chia,11. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,Lưu chuyển tiền thuần từ hoạt động đầu tư,1. Tiền thu từ phát hành cổ phiếu nhận vốn góp của chủ sở hữu,2. Tiền chi trả vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,3. Tiền vay ngắn hạn dài hạn nhận được,4. Tiền chi trả nợ gốc vay,5. Tiền chi trả nợ thuê tài chính,6. Tiền chi khác từ hoạt động tài chính,7. Tiền chi trả từ cổ phần hóa,8. Cổ tức lợi nhuận đã trả cho chủ sở hữu,9. Vốn góp của các cổ đông thiểu số vào các công ty con,10. Chi tiêu quỹ phúc lợi xã hội,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
2009,58389644000,6162162000,3488638000,0,0,0,0,-63654000,0,0,0,2737178000,0,64551806000,-38658688000,-88988209000,76006068000,1772840000,0,-2737178000,0,0,0,11946639000,-8596857000,1996106000,0,12853585000,0,0,0,0,0,0,0,6252834000,4950000000,0,130150885000,-123774137000,0,0,0,0,0,0,11326748000,29526221000,0,0,29526221000
2010,154286192236,8030820834,4373399597,934020873,0,0,0,0,231607551,0,0,2491792813,0,162317013070,-83603912963,-152404931246,151831762544,-3254021353,0,-2491792813,-25294137045,0,0,47099980194,-43934605616,1604293897,0,0,0,0,0,0,0,0,0,-42330311719,54881980000,0,184456548518,-176507262074,0,0,0,-68580774000,0,0,-5749507556,-979839081,29526218260,0,28546379179
2011,212604835836,37251798321,8822574255,-377559195,0,0,0,0,1057015394,0,0,27749767867,0,249856634157,-122706799974,-537271194866,563589189345,-139671627072,0,-26266182716,-49751683290,0,0,-62221664416,-98156417546,1284769916,0,0,0,0,0,0,0,0,0,-96871647630,0,0,1725462669223,-1514918743018,0,0,0,0,0,0,210543926205,51450614159,28546379179,0,79996993338
2012,168468944587,90217211001,27524836686,9997243784,0,0,0,0,-957305165,0,0,53652435696,0,258686155588,56282285044,-87414920229,-143400408556,-3630489477,0,-54773050349,-52547833094,0,0,-26798261073,-35478114004,663805455,0,0,0,0,0,0,1130018845,0,0,-33684289704,38689927000,-38789936500,3456372061773,-3370955147793,0,0,0,0,0,0,85316904480,24834353703,79996993338,0,104831347041
2013,350787629564,63769303236,34254161373,2778672865,0,0,0,0,201097567,0,0,26535371431,0,414556932800,-116625906539,-340163891869,129409197568,101125017946,0,-26262404801,-58109616672,0,0,103929328433,-142189977899,4573757305,0,0,0,0,0,19950000000,3002270118,0,0,-114663950476,108850459021,-20057078735,3616870963398,0,-3495027300214,0,0,0,0,0,210637043470,199902421427,104831347041,0,304733768468
2014,868197443094,183047951961,116388450156,50319643793,0,0,0,0,-4921557749,0,0,21261415761,0,1051245395055,-69681219038,-948838589256,415275921603,-69527740506,0,-21122048282,0,-221553246030,-36133740038,99664733508,-266396524598,1447928974,0,0,0,0,-50000000000,0,0,6723644862,0,-308224950762,11866630000,1996638981,3786869312765,-3681368000939,0,0,0,-2617511830,0,0,116747068977,-91813148277,304733768468,0,212920620191
2015,1385783787694,267141988140,197056011824,32187455819,0,0,-138916487,0,-856415030,0,0,38893852014,0,1652925775834,-476685311770,-2756191562693,1235357266488,-63386564833,0,-37442521379,-196048457727,0,0,-641471376080,-586517897472,0,0,0,0,0,-72239580000,0,913660286,0,0,-657843817186,0,-2153900000,8129261915021,-6695006247613,0,0,0,-1834225628,0,0,1430267541780,130952348514,212920620191,0,343872968705
2016,2005914114923,584622588103,386634522356,78431491258,0,0,-91382580,0,2261763,0,0,119645695306,0,2590536703026,-989517728630,-4503949077200,3124564571480,-164867267201,-112394627462,0,-530854203913,0,0,-586481629900,-1278788918537,951588323,0,0,0,0,0,0,0,1799386697,0,-1276037943517,0,-315300000,19961551061988,-17225505287912,0,0,0,-220130282800,0,0,2515600191276,653080617859,343872968705,29875448,996983462012
2017,2809312032646,1014460114974,689713708632,125969042598,0,0,911764559,0,-35336741307,0,0,233202340492,0,3823772147620,-1322949244960,-2796297892101,3970336761157,-96805747662,0,-223723867627,0,0,-690668199572,2663663956855,-2065069567410,180000000,-210280000000,125580000000,0,0,0,0,0,29374580928,0,-2120214986482,92226480000,0,29465789268692,-27456000269116,0,0,0,-231718927130,240000000,0,1870536552446,2413985522819,996983462012,14366562,3410983351393
2018,3786318568918,1700404549329,1222868683717,126083626828,0,0,-107059306,0,-84857279584,0,0,436416577674,0,5486723118247,1246646823981,-4672944194460,1331042865781,126753313780,0,-427564376510,-829523019750,0,0,2261134531069,-1495931919038,1339965525,-85922451739,0,0,0,-828166470141,0,64286835061,0,0,-2344394040332,703840247200,-729700000,31893805156672,-31690848740269,0,0,0,-485862426827,1514820000,0,421719356776,338459847513,3410983351393,107059306,3749550258212
