,1. Tổng doanh thu hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần (1)-(2),4. Giá vốn hàng bán,5. Lợi nhuận gộp (3)-(4),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,-Trong đó: Chi phí lãi vay,8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác (12)-(13),15. Tổng lợi nhuận kế toán trước thuế (11)+(14),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Chi phí thuế TNDN (16)+(17),19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),20. Lợi nhuận sau thuế của cổ đông không kiểm soát,21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
2009,2012518238000,52601054000,1959917184000,1730633042000,229284142000,5551006000,3762620000,2737178000,0,140695940000,32011451000,58365137000,3309935000,3285428000,24507000,58389644000,11353142000,-1522288000,9830854000,48558790000,485588000,48073202000
2010,2866124270315,49522088131,2816602182184,2308159135417,508443046767,7453521689,13152422779,2491792813,0,309585669019,41836266084,151322210574,5446888822,2482907160,2963981662,154286192236,46086987191,-2155488455,43931498736,110354693500,318379412,110036314088
2011,5431201731927,43695521306,5387506210621,4431536476259,955969734362,7638672619,27855845141,27749767867,0,675866566161,51215687779,208670307900,5966370773,2031842837,3934527936,212604835836,53183281808,2611635678,55794917486,156809918350,-1745730507,158555648857
2012,7398101801328,23135412286,7374966389042,6180425857336,1194540531706,3195006966,56440741017,53652435696,0,910879187061,67187459759,163228150835,7354414495,2113620743,5240793752,168468944587,44459824551,-2171374885,42288449666,126180494921,1128226803,125052268118
2013,9544540892171,45691574828,9498849317343,8091484102566,1407365214777,29466115268,26843253776,26535371431,0,935793711279,125646424308,348547940682,10158134968,7918446086,2239688882,350787629564,92541582226,-222806148,92318776078,258468853486,2867603062,255601250424
2014,15836649248254,79923391578,15756725856676,13360606457365,2396119399311,71335314202,21291413996,21261415761,0,1349301070370,240543267438,856318961709,15118039591,3239558206,11878481385,868197443094,203799232655,-9346006165,194453226490,673744216604,5638184772,668106031832
2015,25388072018730,135338939486,25252733079244,21330302185370,3922430893874,80985820413,40666093756,38893852014,0,2351094719997,249315306535,1362340593999,25192750122,1749556427,23443193695,1385783787694,312610960322,-2598402071,310012558251,1075771229443,3877710044,1071893519399
2016,45612676802016,999344129028,44613332672988,37399226360426,7214106312562,135327700732,120085861346,119645695306,0,4287696260226,934776941124,2006874950598,31129990083,32090825758,-960835675,2005914114923,495800545472,-68137051386,427663494086,1578250620837,878194498,1577372426339
2017,67698540686709,1358736494531,66339804192178,55198024925235,11141779266943,250509808127,234286596275,233202340492,0,7017061321366,1345497381559,2795443775870,17684643400,3816386624,13868256776,2809312032646,639743605453,-37328692156,602414913297,2206897119349,1217488929,2205679630420
2018,87738378978636,1222091976137,86516287002499,71224159239435,15292127763064,342083875229,436573150236,436416577674,-2100986885,9659741188756,1761613900080,3774182412336,33233337382,21097180800,12136156582,3786318568918,933836738446,-27827229661,906009508785,2880309060133,1584929226,2878724130907
2019,103485046672447,1310802695724,102174243976723,82686444673012,19487799303711,631177854351,569754844844,568136717134,-3473283371,12437282718212,2073782880058,5034683431577,41557041541,22793268422,18763773119,5053447204696,1248353081834,-31145964165,1217207117669,3836240087027,1970539980,3834269547047
2020,109801253690656,1255234025244,108546019665412,84591522392949,23954497272463,794121782667,594151513751,594003821021,-3706939471,15333798830787,3404431838167,5412529932954,43512695471,46307221072,-2794525601,5409735407353,1598413821219,-108551123373,1489862697846,3919872709507,2104926348,3917767783159
2021,124141525689948,1183419586774,122958106103174,95325974107640,27632131995534,1287956026163,714707225745,674427746189,-2210500486,17914173302345,3823390074765,6465606918356,54872797433,48895965246,5976832187,6471583750543,1632975695694,-62818619041,1570157076653,4901426673890,2557395670,4898869278220
2022,134722248887557,1317471297033,133404777590524,102542735094343,30862042496181,1313137304323,1382620454532,1362143909103,0,22336838067678,1881027579714,6574693698580,61606712681,579945037703,-518338325022,6056355373558,1792998810102,161642138517,1954640948619,4101714424939,1951397634,4099763027305
2023,119234184825086,954396369644,118279788455442,95759175291712,22520613163730,2166963715091,1556146106982,1447718354797,0,20916710755306,1167651662536,1047068353997,36883419051,394259405152,-357375986101,689692367896,433257176515,88606036442,521863212957,167829154939,159762235,167669392704
