,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2005,260797822563,8067638316,0,21268334231,224629207729,6832642287,137100475151,0,36089101531,0,0,51760800000,49250573620,0,397898297714,296686512736,293864375433,2822137303,101211784978,101211784978,0,397898297714
2006,364423827449,23159650502,0,11720182592,323063313283,6480681072,196548164487,0,38159886778,0,0,74374800000,84013477709,0,560971991936,442537401883,437494688360,5042713523,118434590053,118434590053,0,560971991936
2007,901136512591,180476705109,16861556680,186221548205,504271017627,13305684970,514705818716,0,49541682212,0,1780038000,329655288400,131014313416,2714496688,1415842331307,457132359151,388943907897,68188451254,958709972156,958709972156,0,1415842331307
2008,786286736162,617517376652,23032212000,55318332984,68296724971,22122089555,896845092860,0,286641542126,0,25124318854,426682310080,156768223787,1628698013,1683131829022,738773398739,662062100238,76711298501,944358430283,944358430283,0,1683131829022
2009,982017730615,274965948571,29475000000,138191257787,520649533349,18735990908,1043636942969,0,312750363226,0,50077411701,520427787830,160381380212,0,2025654673584,1023112370551,905374950256,117737420295,1002542303033,1002542303033,0,2025654673584
2010,1176638742453,337769093757,0,57575438981,751709044884,29585164831,1287569967482,0,290013040010,0,41625333746,749471560231,206460033495,0,2464208709935,1388651100968,1238244894919,150406206049,1075557608967,1075557608967,0,2464208709935
2011,1605037461093,454113948194,70000000000,70871461230,968915039630,41137012039,1323075161632,0,393626000123,0,25951684133,712435781858,191061695518,0,2928112622725,1771024241138,973411782490,797612458648,1157088381587,1157088381587,0,2928112622725
2012,1342948159392,468655700806,0,53722534510,791136127118,29433796958,1200037803867,0,420880660650,0,11017884026,760781225093,7358034098,0,2542985963259,1301246946986,1130464996486,170781950500,1241739016273,1241739016273,0,2542985963259
2013,1717592172977,507821745184,0,76020840245,1087344363095,46405224453,1239106817480,0,488742460616,52150619987,9115921546,589705137986,14403411252,84989266093,2956698990457,1550680871025,1415480783876,135200087149,1406018119432,1406018119432,0,2956698990457
2014,1830870956574,272305336075,0,71324851689,1437415596122,49825172688,997801184775,0,451729266255,0,739090200,531864217588,13468610732,0,2828672141349,1532149329780,1394564947680,137584382100,1296522811569,1296522811569,0,2828672141349
2015,2265184856056,37884639212,65000000,47171239844,2135224563617,44839413383,710104580011,21217170462,486102562173,0,6279408722,166666261924,29839176730,0,2975289436067,1580939890550,1501707663181,79232227369,1394349545517,1394349545517,0,2975289436067
2016,3102579808767,155348026509,65000000,62721123570,2838689610580,45756048108,485407101396,26443208792,415801415193,0,7532817898,0,35629659513,0,3587986910163,2087660199499,2021660998255,65999201244,1500326710664,1500326710664,0,3587986910163
2017,3896141901410,175208552187,160065000000,84622464067,3401959226624,74286658532,596103931401,42787737738,487243774697,0,9665078966,0,56407340000,0,4492245832811,1542697241029,1488758034029,53939207000,2949548591782,2949548591782,0,4492245832811
2018,5405256600641,206721179629,0,155196257825,4968145942990,75193220197,1032638955963,57498444869,719287274744,0,70822681154,0,185030555196,0,6437895556604,2692822128700,2677317785700,15504343000,3745073427904,3745073427904,0,6437895556604
2019,7333364485251,95224439008,0,129688313476,7030420371216,78031361551,1269599936565,70721623109,923870354474,0,28457398434,0,246550560548,0,8602964421816,4025698610469,4017860824469,7837786000,4577265811347,4577265811347,0,8602964421816
2020,7143929036497,422234781061,0,98997286429,6545905987056,76790981951,1339217061954,77310617360,931617117533,0,33003867003,0,297285460058,0,8483146098451,3241284233443,3231907356443,9376877000,5241861865008,5241861865008,0,8483146098451
2021,9292192238421,355454838957,0,111969758488,8754741712359,70025928617,1326824308701,84131506164,909985491983,0,30795369850,0,301911940704,0,10619016547122,4606382566869,4563002409508,43380157361,6012633980253,6012633980253,0,10619016547122
2022,11966357761798,879548130711,200000000000,300880402245,10506054932284,79874296558,1370766887448,93956493011,882432821075,0,30826629189,0,363550944173,0,13337124649246,4893029994396,4883064421396,9965573000,8444094654850,8444094654850,0,13337124649246
2023,12958118192260,896147917336,810100000000,215035937840,10940937959289,95896377795,1469439823096,104636239106,882715109732,0,29100048410,3980000000,449008425848,0,14427558015356,4621377351380,4611956609380,9420742000,9806180663976,9806180663976,0,14427558015356
