,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,- Khấu hao TSCĐ,- Các khoản dự phòng,- Lợi nhuận thuần từ đầu tư vào công ty liên kết,- Xóa sổ tài sản cố định (thuần),- Lãi lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,- Lãi lỗ từ thanh lý TSCĐ,- Lãi lỗ từ hoạt động đầu tư,- Lãi tiền gửi,- Thu nhập lãi,- Chi phí lãi vay,- Các khoản chi trực tiếp từ lợi nhuận,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,- Tăng giảm các khoản phải thu,- Tăng giảm hàng tồn kho,- Tăng giảm các khoản phải trả (Không kể lãi vay phải trả thuế thu nhập doanh nghiệp phải nộp),- Tăng giảm chi phí trả trước,- Tăng giảm tài sản ngắn hạn khác,- Tiền lãi vay phải trả,- Thuế thu nhập doanh nghiệp đã nộp,- Tiền thu khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,2. Tiền thu từ thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,3. Tiền chi cho vay mua các công cụ nợ của đơn vị khác,4. Tiền thu hồi cho vay bán lại các công cụ nợ của các đơn vị khác,5. Đầu tư góp vốn vào công ty liên doanh liên kết,6. Chi đầu tư ngắn hạn,7. Tiền chi đầu tư góp vốn vào đơn vị khác,8. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,9. Lãi tiền gửi đã thu,10. Tiền thu lãi cho vay cổ tức và lợi nhuận được chia,11. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,Lưu chuyển tiền thuần từ hoạt động đầu tư,1. Tiền thu từ phát hành cổ phiếu nhận vốn góp của chủ sở hữu,2. Tiền chi trả vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,3. Tiền vay ngắn hạn dài hạn nhận được,4. Tiền chi trả nợ gốc vay,5. Tiền chi trả nợ thuê tài chính,6. Tiền chi khác từ hoạt động tài chính,7. Tiền chi trả từ cổ phần hóa,8. Cổ tức lợi nhuận đã trả cho chủ sở hữu,9. Vốn góp của các cổ đông thiểu số vào các công ty con,10. Chi tiêu quỹ phúc lợi xã hội,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
2007,130550240683,-21389925655,9430281550,0,0,0,-572644609,0,-53626319990,0,0,23378757394,0,109160315028,-156807566882,-134688839031,-29912439929,61579158141,0,-22744911528,-7003519504,2832565570,-7809796490,-185395034625,-18100530727,18000000,0,0,0,0,-448654919682,105331502496,0,49780246580,0,-311625701333,868698165631,-110500000000,743919523367,-833330532872,0,0,0,-14899596000,0,0,653887560126,156866824168,23601030961,8849980,180476705109
2008,166510163484,44249688801,36065641226,13872415768,0,0,-575062801,-10445814,0,-38081508139,0,32978648561,0,210759852285,152635162886,-948274834,47464575621,0,0,-31942217928,-40264181593,0,-13557092933,324147823504,-300793468406,16700000,0,0,0,0,-159221739000,29420000000,0,37761583707,0,-392816923699,6418455498,0,1491252597816,-1339094448798,0,0,0,-129828619798,0,0,28747984718,-39921115477,657160086211,278405918,617517376652
2009,274720370552,24957071338,41018313453,2549400200,-11187254025,-1286857437,22808291931,-201736540,-25893396000,-33929329028,-10342193078,41421831862,0,299677441890,-105161138461,-61216882336,11581239860,0,0,-39890584302,-45712047230,0,-13743552956,45534476465,-102468852843,751500000,0,21137863351,10342193078,0,-125568170000,59393497000,0,33929329028,0,-102482640386,0,-7090000,3836446956347,-3613830205036,0,0,0,-101003940000,0,0,121605721311,64657557390,210458127512,-149736331,274965948571
2010,263892214917,18935996628,43922848994,57814791,-21442711729,-3229607274,0,-2544166131,-15125454250,-41503821527,0,58801093754,0,282828211545,53293918839,-261578272583,62077903873,0,0,-58319330507,-51918613481,0,-23312694402,3071123284,-112361991985,13571368595,0,0,0,0,-217100697000,61180984700,0,51388081132,0,-203322254558,0,0,6599955894699,-6254018176391,0,0,0,-80716342550,-2167099298,0,263054276460,62803145186,274965948571,0,337769093757
2011,318165893441,175148382474,42308214488,12113142484,-10666239207,431215096,85681898050,-427282948,-2362630287,-55925420302,0,103995485100,0,493314275915,-11140015759,-217205994746,76167135915,0,0,-103861814898,-65658313770,0,-17387942365,154227330292,-115655063956,959942727,-70000000000,307107617,0,0,0,34298300000,0,47201478302,0,-102888235310,0,0,8767143927774,-8551891484141,-3839805702,0,0,-150183653750,0,0,61228984181,112568079163,337769093757,3776775274,454113948194
2012,310093877728,39437932211,15134039127,-3188027641,0,0,31596846638,0,-105602734355,0,0,101497808442,0,349531809939,-165811248496,172002642355,-141420759807,192926943725,0,-101911586414,-53996209047,0,-56348884453,194972707802,-70213384150,11728380455,0,70000000000,0,0,-38020910985,99569666282,0,53764811788,0,126828563390,0,0,3427905909708,-3585225129370,0,0,0,-149965528175,0,0,-307284747837,14516523355,454113948194,25229257,468655700806
2013,233007287265,94097098621,23809470760,967254900,0,0,0,0,-14205354346,0,0,83525727307,0,327104385886,1257008085,-296208235977,77256168164,-13198313124,0,-83525727307,-43806298357,30001580000,-24326682734,-25446115364,-56559512129,8041831601,0,0,0,0,153763708000,0,0,13884155145,0,119130182617,35992000000,0,4889634614815,-4886547452190,0,0,0,-93597185500,0,0,-54518022875,39166044378,468655700806,0,507821745184
2014,335033546883,95074575997,31011683393,468396300,0,0,0,0,-16087701495,0,0,79682197799,0,430108122880,-20105968511,-392583571977,76335837103,-6200444610,0,-79682197799,-79187348685,0,-47174283526,-118489855125,-34530888745,642272726,0,0,0,0,0,9149322084,0,21718529735,0,-3020764200,0,0,6042963679870,-5915061935454,0,0,0,-241907534200,0,0,-114005789784,-235516409109,507821745184,0,272305336075
2015,197323379502,442482399532,30451035779,292518531341,0,0,286018688,0,38178084255,0,0,81048729469,0,639805779034,31791940883,-463209702616,65513478444,-31247149599,0,-80553486249,-67771689466,0,-20624506660,73704663771,-70364650219,301946364,0,0,0,0,0,26152150000,0,230025045,0,-43680528810,0,0,4745829672583,-4752996341728,0,0,0,-22678897800,0,0,-29845566945,178568016,37706071196,0,37884639212
2016,590627966579,172102750918,34398406238,81777975537,0,0,3448968082,0,-20718880379,0,0,73196281440,0,762730717497,-26455422977,-703465046963,170232020319,-6686618355,0,-70946216904,-160482205140,0,7686200383,-27386572140,-87266757467,164944000000,0,0,0,0,0,64306410000,0,3951477458,0,145935129991,0,0,3251108227438,-3006684533136,0,0,0,-245684670000,0,0,-1260975698,117287582153,37884639212,175805144,155348026509
