,1. Tổng doanh thu hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần (1)-(2),4. Giá vốn hàng bán,5. Lợi nhuận gộp (3)-(4),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,-Trong đó: Chi phí lãi vay,8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác (12)-(13),15. Tổng lợi nhuận kế toán trước thuế (11)+(14),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Chi phí thuế TNDN (16)+(17),19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),20. Lợi nhuận sau thuế của cổ đông không kiểm soát,21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
2005,1254718002391,8267642399,1246450359992,1137160671694,109289688298,7218540159,29887100790,13101209357,0,51673221260,9921072660,25026833747,19406826584,474685998,18932140586,43958974333,0,0,0,43958974333,0,43958974333
2006,1801913350652,13123231718,1788790118934,1618936674276,169853444658,46841386617,103075179699,16539934743,0,73478012889,12728572577,27413066110,7091706676,332275385,6759431291,34172497401,4286337858,-262645532,4023692326,30148805075,0,30148805075
2007,2395503437664,15868261734,2379635175930,2177499663010,202135512920,54519052631,25541948148,23670855391,0,85838569417,22535447136,122738600850,7959882077,148242244,7811639833,130550240683,16528148816,-990716764,15537432052,115012808631,631254381,114381554250
2008,4204235943563,25386760979,4178849182584,3828808852408,350040330176,56899530012,63237590959,32978648561,0,140191777752,47245266782,156265224695,11167192255,922253466,10244938789,166510163484,35528877415,-882536794,34646340621,131863822863,6300247042,125563575821
2009,10290503190514,34203428628,10256299761886,9755444424582,500855337304,74014998344,75807391931,41421831862,11187254025,185512985806,61079143055,263658068881,12101550024,1039248353,11062301671,274720370552,54552299565,336191501,54888491066,219831879486,15340366447,204491513039
2010,13798302596222,45921930526,13752380665696,13210528300660,541852365036,64650321180,60390301471,58801093754,21442711729,243304931356,79166636200,245083528918,30711526150,11902840151,18808685999,263892214917,51946709715,604159979,52550869694,211341345223,-676831791,212018177014
2011,18038055458855,74214987083,17963840471772,17225520872828,738319598944,64754928074,125534692551,103995485100,10666239207,289530963640,98126294532,300548815502,19224929719,1607851780,17617077939,318165893441,60742590596,-83304492,60659286104,257506607337,401324979,257105282358
2012,6777869795148,61026428725,6716843366423,6118336274620,598507091803,120569293310,91405694428,101497808442,10294076985,267972724506,89631912787,280360130377,49775091650,20041344299,29733747351,310093877728,55247602683,437612552,55685215235,254408662493,0,254408662493
2013,8973965897995,59783311660,8914182586335,8244494727893,669687858442,23797867875,84970680816,83525727307,-579477436,262496218357,113373916451,232065433257,3181797660,2239943652,941854008,233007287265,64190342200,-220310692,63970031508,169037255757,5866063304,163171192453
2014,9297810872565,98592775013,9199218097552,8309982541638,889235555914,18739496430,90254654225,79682197799,803613002,354954031945,129618733552,333951245624,2668838792,1586537533,1082301259,335033546883,79455050132,-293307944,79161742188,255871804695,13376498721,242495305974
2015,7741445592122,33092915485,7708352676637,6537985006949,1170367669688,1327860382,430803003461,81048729469,518169336,423930312468,117548223185,199932160292,1626760778,4235541568,-2608780790,197323379502,46596055972,-1575489218,45020566754,152302812748,0,152302812748
2016,8615363154443,50772664226,8564590490217,7153297291319,1411293198898,5265793888,181560472623,73196281440,-913939311,553623183284,133281909539,547179488029,47317460372,3868981822,43448478550,590627966579,139964060336,175856983,140139917319,450488049260,0,450488049260
2017,11049024104831,72187214867,10976836889964,9064872939048,1911963950916,8794872100,56475629564,54981032499,0,774978169326,187936351549,901368672577,7394867935,1384144655,6010723280,907379395857,182038883247,484064550,182522947797,724856448060,0,724856448060
2018,14678799605798,107663860948,14571135744850,11792052183391,2779083561459,6846027091,66345864211,61109042390,0,1170069069426,345868153940,1203646500973,4637809502,2734037354,1903772148,1205550273121,249485408708,-3858482734,245626925974,959923347147,0,959923347147
2019,17144251446632,143570366109,17000681080523,13539967588262,3460713492261,16820020734,133678118497,115367610418,0,1361807553507,475831697930,1506216143061,4760923089,4264680599,496242490,1506712385551,315667183537,-2879755229,312787428308,1193924957243,0,1193924957243
2020,17681913026177,171124375178,17510788650999,14076055770112,3434732880887,2368958316,161541087492,154416694276,0,1420855653447,505572794605,1349132303659,5485848150,8637683094,-3151834944,1345980468715,279422477414,-2752113960,276670363454,1069310105261,0,1069310105261
2021,19735646137250,188587772416,19547058364834,15948760134458,3598298230376,16326114795,118252734395,104380274160,0,1687654952494,501819303928,1306897354354,8861354013,36528186336,-27666832323,1279230522031,259673455974,-9485099588,250188356386,1029042165645,0,1029042165645
2022,34211128942240,334674383087,33876454559153,27949348024381,5927106534772,54036974170,141471203463,94143431408,0,2828208644376,673996996684,2337466664419,8582642521,33721752227,-25139109706,2312327554713,521061271124,-19425559808,501635711316,1810691843397,0,1810691843397
2023,33481608954953,344679758524,33136929196429,27078338249235,6058590947194,97825547538,142580680640,118568804103,0,2835769469802,693934934718,2484131409572,11846230257,7217637455,4628592802,2488760002374,517592806160,68019079,517660825239,1971099177135,0,1971099177135
