,A. TÀI SẢN NGẮN HẠN,I. Tài sản tài chính,II.Tài sản ngắn hạn khác,B.TÀI SẢN DÀI HẠN,I. Tài sản tài chính dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Chi phí xây dựng cơ bản dở dang,V. Tài sản dài hạn khác,VI. Dự phòng suy giảm giá trị tài sản dài hạn,TỔNG CỘNG TÀI SẢN,C. NỢ PHẢI TRẢ,I. Nợ phải trả ngắn hạn,1. Vay và nợ thuê tài sản tài chính ngắn hạn,2. Vay tài sản tài chính ngắn hạn,3. Trái phiếu chuyển đổi ngắn hạn,4. Trái phiếu phát hành ngắn hạn,5. Vay Quỹ Hỗ trợ thanh toán,6. Phải trả hoạt động giao dịch chứng khoán,7. Phải trả về lỗi giao dịch các tài sản tài chính,8. Phải trả người bán ngắn hạn,9. Người mua trả tiền trước,10. Thuế và các khoản phải nộp nhà nước,11. Phải trả người lao động,12. Các khoản trích nộp phúc lợi nhân viên,13. Chi phí phải trả ngắn hạn,14. Phải trả nội bộ ngắn hạn,15. Doanh thu chưa thực hiện ngắn hạn,16. Nhận ký quỹ ký cược ngắn hạn,17.Các khoản phải trả phải nộp khác ngắn hạn,18. Dự phòng phải trả ngắn hạn,12. Quỹ khen thưởng phúc lợi,II. Nợ phải trả dài hạn,1. Vay và nợ thuê tài sản tài chính dài hạn,2. Vay tài sản tài chính dài hạn,3. Trái phiếu chuyển đổi dài hạn,4. Trái phiếu phát hành dài hạn,5. Phải trả người bán dài hạn,6. Người mua trả tiền trước dài hạn,7. Chi phí phải trả dài hạn,8. Phải trả nội bộ dài hạn,9. Doanh thu chưa thực hiện dài hạn,10. Nhận ký quỹ ký cược dài hạn,11. Các khoản phải trả phải nộp khác dài hạn,12. Dự phòng phải trả dài hạn,13. Dự phòng bồi thường thiệt hại cho nhà đầu tư,14. Thuế thu nhập hoãn lại phải trả,15. Quỹ phát triển khoa học và công nghệ,D. VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,2. Chênh lệch đánh giá tài sản theo giá trị hợp lý,3. Chênh lệch tỷ giá hối đoái,4. Quỹ dự trữ điều lệ,5. Quỹ dự phòng tài chính và rủi ro nghề nghiệp,6. Các Quỹ khác thuộc vốn chủ sở hữu,7. Lợi nhuận chưa phân phối,8. Lợi ích của cổ đông không nắm quyền kiểm soát,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU
2014,6412052850650,6393366106656,18686743994,2502382615087,1994645599205,139466904286,252260031185,0,116010080411,0,8914435465737,3140629721212,3112710665552,1506127466877,0,0,0,0,1099735043720,0,3660523934,71967220419,48730855015,3661862273,0,10729314712,0,0,0,263189425084,0,104908953518,27919055660,0,0,0,0,0,0,0,0,0,0,559315985,0,0,27359739675,0,5773805744525,5773805744525,3875960835783,0,0,372998887930,0,0,1441990375228,82855645584,0,8914435465737
2015,10944974283833,10703327010450,241647273383,2452507120087,1961444584362,131682063084,268409921032,298340000,90672211609,0,13397481403920,6669872389630,5946595282205,3913847967537,0,0,0,0,1551287823618,0,4847340451,4893483331,91848160110,3908502405,0,63406571086,0,0,0,196622027104,0,115933406563,723277107425,687500000000,0,0,0,0,0,0,0,33511108968,0,453246599,0,0,1812751858,0,6727609014290,6727609014290,4825142703161,0,31013180718,451646309750,0,0,1338666458296,81140362365,0,13397481403920
2016,11884989070539,11786485397072,98503673467,1342980181165,750343966349,131416882683,261341171964,46777509012,153100651157,0,13227969251704,6075402095022,5841951456398,4819340678085,0,0,376000000000,0,39617787653,0,9261510278,4141733170,73816803238,4726744169,168596552,62998576869,0,244986666,0,300115900807,0,151518138911,233450638624,0,0,0,199651666665,0,0,0,0,33511108968,230577141,0,0,0,57285850,0,7152567156682,7152567156682,4927409917200,-2689490143,34056420954,311560605893,227053011209,0,1576075507357,79101184212,0,13227969251704
2017,17227983148329,17092445491929,135537656400,1536392023519,943369693465,161101323414,218230726962,47154474755,166535804923,0,18764375171848,10148125475946,9354274432825,8503887663684,0,0,199871666661,0,0,0,7858964987,5119599349,131662750256,39122549261,8662352,93014814252,0,0,0,188798899963,0,184928862060,793851043121,0,0,0,569300000000,0,0,0,0,33511108968,0,0,0,0,191039934153,0,8616249695902,8616249695902,5027878981200,637896244067,33179513213,355412398796,270904804112,0,2212624960292,78352794222,0,18764375171848
2018,22270357215928,22237874265510,32482950418,1555269509433,1065902838568,118742648730,214561642609,4923184107,151139195419,0,23825626725361,14669962197728,13469410255114,11193158753866,0,0,255000000000,0,20890746200,0,9871570085,56096109184,69950280972,42813281214,60982952,113892022048,0,0,1255230000,1490328981368,0,216092297225,1200551942614,0,0,1068320391534,0,0,2415081980,0,0,51187159357,255695000,0,0,0,78373614743,0,9155664527633,9155664527633,5235152952935,277801019026,41038039125,412057165307,327549570623,0,2795105924402,66959856215,0,23825626725361
2019,22290867181933,22255950496752,34916685181,4753247842980,4238855852478,147012729467,205776532750,29450054289,132152673996,0,27044115024913,17643055244708,16409540660284,15550226155457,0,0,0,0,30254764400,0,30031870403,5121736077,59461134912,27172101519,398826652,98991141743,0,335220000,1231190000,343356873373,0,262959645748,1233514584424,0,0,1105937946170,0,0,0,0,0,51187159357,0,0,0,0,76389478897,0,9401059780205,9401059780205,5224760213535,259495169033,40382194252,477303674335,392796079651,0,2941467041881,64855407518,0,27044115024913
2020,29040031499577,28888812866430,151218633147,6729496508663,6249810538455,148288324557,196767751014,43076046646,91553847991,0,35769528008240,25896730955921,25823378537838,23351486249171,0,1146531254012,0,0,217446795784,0,31320947588,3702194419,112846025401,27144111212,6885052,80266400011,0,81615385,1508975000,622409550039,0,228627534764,73352418083,0,0,0,0,0,0,0,0,52987159357,0,0,0,0,20365258726,0,9872797052319,9872797052319,6138044019034,-4722276606,39377296810,522187344649,437679749965,0,2676816162826,63414755641,0,35769528008240
2021,46539595154345,46464265826322,75329328023,4253461407737,3689345130340,188965446921,233184318475,34927073550,107039438451,,50793056562082,36572973831934,36479184836620,31120908370195,,,,,180055643711,,22249743964,6200501681,352627769284,138381185157,302986427,97740561623,,1525471313,1214760000,4312036356149,,245941487116,93788995314,,,,,,,,,52787159357,,,,,41001835957,,14220082730148,14220082730148,10642685440635,-3793033106,33624236089,61252419507,495932169472,,2927812985141,62568512410,,50793056562082
2022,48731915104609,48621880319731,110034784878,3494467781872,2773073277309,281930596475,265112905732,25900319841,148450682515,,52226382886481,29842500921821,29788710759101,27892289728472,,,,,49171694783,,319360885025,4821592590,114962879495,113560403706,800864803,58305774563,,129242424,336491400,913074286244,,321896915596,53790162720,,,,,,,,,52587159357,,,,,1203003363,,22383881964660,22383881964660,18191406836235,-6286385840,44775287721,61252419507,,,3953892022051,138841784986,,52226382886481
2023,65755288989500,65659269540690,96019448810,3486038113148,2821238620031,269476512837,235719785810,32113341467,127489853003,,69241327102648,46000434991835,45939117288138,43168931078677,,,,,141432129400,,862312021006,23583183500,359826258949,108456214320,1041882063,67825737639,,643333335,446275600,902843398147,,301775775502,61317703697,,,,,,,,,52387159357,,,,,8930544340,,23240892110813,23240892110813,18291394836235,-3793033106,55243155795,61252419507,,,4696261511253,140533221129,,69241327102648
