,1.1. Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),a. Lãi bán các tài sản tài chính,b. Chênh lệch tăng đánh giá lại các TSTC thông qua lãi/lỗ,c. Cổ tức tiền lãi phát sinh từ tài sản tài chính PVTPL,1.2. Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),1.3. Lãi từ các khoản cho vay và phải thu,1.4. Lãi từ các tài sản tài chính sẵn sàng để bán (AFS),1.5. Lãi từ các công cụ phái sinh phòng ngừa rủi ro,1.6. Doanh thu môi giới chứng khoán,1.7. Doanh thu bảo lãnh đại lý phát hành chứng khoán,1.8. Doanh thu tư vấn,1.9. Doanh thu hoạt động nhận ủy thác đấu giá,1.10. Doanh thu lưu ký chứng khoán,1.11. Thu nhập hoạt động khác,Cộng doanh thu hoạt động,2.1. Lỗ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),a. Lỗ bán các tài sản tài chính,b. Chênh lệch giảm đánh giá lại các TSTC thông qua lãi/lỗ,c. c.Chi phí giao dịch mua các tài sản tài chính FVTPL,2.2. Lỗ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),2.3. Chi phí lãi vay lỗ từ các khoản cho vay và phải thu,2.4. Lỗ bán các tài sản tài chính sẵn sàng để bán (AFS),2.5. Lỗ từ các tài sản tài chính phái sinh phòng ngừa rủi ro,2.6. Chi phí hoạt động tự doanh,2.7. Chi phí môi giới chứng khoán,2.8. Chi phí hoạt động bảo lãnh đại lý phát hành chứng khoán,2.9. Chi phí tư vấn,2.10. Chi phí hoạt động đấu giá ủy thác,2.11. Chi phí lưu ký chứng khoán,2.12. Chi phí khác,Trong đó: Chi phí sửa lỗi giao dịch chứng khoán lỗi khác,Cộng chi phí hoạt động,3.1. Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện,3.2. Doanh thu dự thu cổ tức lãi tiền gửi không cố định phát sinh trong kỳ,3.3. Lãi bán thanh lý các khoản đầu tư vào công ty con liên kết liên doanh,3.4. Doanh thu khác về đầu tư,Cộng doanh thu hoạt động tài chính,4.1. Chênh lệch lỗ tỷ giá hối đoái đã và chưa thực hiện,4.2. Chi phí lãi vay,4.3. Lỗ bán thanh lý các khoản đầu tư vào công ty con liên kết liên doanh,4.4. Chi phí đầu tư khác,Cộng chi phí tài chính,V. CHI BÁN HÀNG,VI. CHI PHÍ QUẢN LÝ CÔNG TY CHỨNG KHOÁN,VII. KẾT QUẢ HOẠT ĐỘNG,8.1. Thu nhập khác,8.2. Chi phí khác,Cộng kết quả hoạt động khác,IX. TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ,9.1. Lợi nhuận đã thực hiện,9.2. Lợi nhuận chưa thực hiện,X. CHI PHÍ THUẾ TNDN,10.1. Chi phí thuế TNDN hiện hành,10.2. Chi phí thuế TNDN hoãn lại,XI. LỢI NHUẬN KẾ TOÁN SAU THUẾ TNDN,11.1. Lợi nhuận sau thuế phân bổ cho chủ sở hữu,11.2. Lợi nhuận sau thuế trích các Quỹ dự trữ điều lệ Quỹ Dự phòng tài chính và rủi ro nghề nghiệp theo quy định của Điều lệ Công ty là %),11.3. Lợi nhuận thuần phân bổ cho lợi ích của cổ đông không kiểm soát,XII. THU NHẬP (LỖ) TOÀN DIỆN KHÁC SAU THUẾ TNDN,12.1. Lãi/(Lỗ) từ đánh giá lại các các khoản đầu tư giữ đến ngày đáo hạn,12.2.Lãi/(Lỗ) từ đánh giá lại các tài sản tài chính sẵn sàng để bán,12.3. Lãi (lỗ) toàn diện khác được chia từ hoạt động đầu tư vào công ty con công ty liên kết liên doanh,12.4. Lãi/(Lỗ) từ đánh giá lại các công cụ tài chính phái sinh,12.5. Lãi/(lỗ) chênh lệch tỷ giá của hoạt động tại nước ngoài,12.6. Lãi lỗ từ các khoản đầu tư vào công ty con công ty liên kết liên doanh chưa chia,12.7. Lãi lỗ đánh giá công cụ phái sinh,12.8. Lãi lỗ đánh giá lại tài sản cố định theo mô hình giá trị hợp lý,Tổng thu nhập toàn diện,Thu nhập toàn diện phân bổ cho chủ sở hữu,Thu nhập toàn diện phân bổ cho cổ đông không nắm quyền kiểm soát
2004,0,0,0,0,14952169277,0,0,0,2951153023,0,2150332989,0,20972785,491864675,20466320744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13871058309,0,13871058309,0,0,0,0,0,0,0,0,0,0,0,247130029,13653532704,0,0,0,13653532704,13653532704,0,0,0,0,13653532704,13653532704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,23960176380,0,0,0,3541183365,5010000000,3423776250,0,252830165,3750397078,39938363238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23362490633,0,23362490633,0,0,0,0,0,0,0,0,0,0,0,570851922,26972147669,2731582,2319186,412396,26972560065,26972560065,0,1618644570,1618644570,0,25353915495,25353915495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,194427361720,0,0,0,49204063577,8911433540,7351342719,0,1194330245,78852952266,339940984067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75162311840,0,75162311840,0,0,0,0,0,0,0,0,0,0,0,633027606,302683564118,29709434,22706713,7002721,302690566839,302690566839,0,60660033696,60660033696,0,242030533143,242030533143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,695396145555,0,0,0,250374692239,51620852881,23303341001,0,5480963894,217942462935,1243831260715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392278336766,0,392278336766,0,0,0,0,0,0,0,0,0,0,0,1096828631,959072265573,2590924701,145647903,2445276798,961517542371,961517542371,0,97341575132,97341575132,0,864175967239,864175967239,0,0,2132135518,0,0,2132135518,0,0,0,0,0,0,0,0
2008,0,0,0,0,453734142155,0,0,0,115751810479,8646285660,9456472056,0,5413832090,216179111845,1135991360676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072329837940,0,1072329837940,0,0,0,0,0,0,0,0,0,0,0,761877233,308952319713,-8797862546,22335211375,-31133073921,277819245792,277819245792,0,27302275035,27302275035,0,250516970757,250516970757,0,0,-34065054697,0,0,-34065054697,0,0,0,0,0,0,0,0
2009,0,0,0,0,603679970807,0,0,0,196203846337,9236390000,50301749737,0,1756798538,260379188241,1121526055660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233474467665,0,233474467665,0,0,0,0,0,0,0,0,0,0,0,6261966451,881789621544,74025441070,103548166,73921892904,955711514448,955711514448,0,151631618510,173223959369,-21592340859,804079895938,804079895938,0,0,73888378228,0,0,73888378228,0,0,0,0,0,0,0,0
2010,0,0,0,0,710010595072,0,0,0,176043714129,13140023320,108242078334,0,2421084957,493759194068,1503366689880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592325572635,0,592325572635,0,0,0,0,0,0,0,0,0,0,0,11145589606,899895527639,8562758599,5638799981,2923958618,902819486257,902819486257,0,213350483379,195700683962,17649799417,689469002878,688587115937,0,881886941,2736427943,0,0,2736427943,0,0,0,0,0,0,0,0
2011,0,0,0,0,227702451908,0,0,0,96005005216,6420000000,38076296310,0,2487230802,477357788654,848042922890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656773739348,0,656773739348,0,0,0,0,0,0,0,0,0,0,0,27938858746,163330324796,-36045238450,680706469,-36725944919,126604379877,126604379877,0,43851144322,3937863518,39913280804,82753235555,79129012745,0,3624222810,-36599141321,0,0,-36599141321,0,0,0,0,0,0,0,0
2012,0,0,0,0,276558485136,0,0,0,105807913215,29061000,79784442039,0,5191757059,381922562735,849294221184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454524349042,0,454524349042,0,0,0,0,0,0,0,0,0,0,0,17991632074,376778240068,111139191370,658800233,110480391137,487258631205,487258631205,0,21766193414,82563882162,-60797688748,465492437791,464299378161,0,1193059630,106059910285,0,0,106059910285,0,0,0,0,0,0,0,0
2013,0,0,0,0,196308973064,0,0,0,138279714570,181607894,28691792508,0,5345687143,358136054457,726943829636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386476250295,0,386476250295,0,0,0,0,0,0,0,0,0,0,0,12022643097,328444936244,177461535298,72287364,177389247934,505834184178,505834184178,0,88498248623,88381199859,117048764,417335935555,418044800069,0,-708864514,114391074176,0,0,114391074176,0,0,0,0,0,0,0,0
2014,0,0,0,0,721120170953,0,0,0,328600376565,3387740403,20966718460,0,5623352899,484911778605,1564510137885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689827540779,0,689827540779,0,0,0,0,0,0,0,0,0,0,0,14759715127,859922881979,67922885861,5367783,67917518078,927840400057,927840400057,0,183144865396,218587928515,-35443063119,744695534661,744830193840,0,-134659179,14267004784,0,0,14267004784,0,0,0,0,0,0,0,0
