,A. TÀI SẢN NGẮN HẠN,I. Tài sản tài chính,II.Tài sản ngắn hạn khác,B.TÀI SẢN DÀI HẠN,I. Tài sản tài chính dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Chi phí xây dựng cơ bản dở dang,V. Tài sản dài hạn khác,VI. Dự phòng suy giảm giá trị tài sản dài hạn,TỔNG CỘNG TÀI SẢN,C. NỢ PHẢI TRẢ,I. Nợ phải trả ngắn hạn,1. Vay và nợ thuê tài sản tài chính ngắn hạn,2. Vay tài sản tài chính ngắn hạn,3. Trái phiếu chuyển đổi ngắn hạn,4. Trái phiếu phát hành ngắn hạn,5. Vay Quỹ Hỗ trợ thanh toán,6. Phải trả hoạt động giao dịch chứng khoán,7. Phải trả về lỗi giao dịch các tài sản tài chính,8. Phải trả người bán ngắn hạn,9. Người mua trả tiền trước,10. Thuế và các khoản phải nộp nhà nước,11. Phải trả người lao động,12. Các khoản trích nộp phúc lợi nhân viên,13. Chi phí phải trả ngắn hạn,14. Phải trả nội bộ ngắn hạn,15. Doanh thu chưa thực hiện ngắn hạn,16. Nhận ký quỹ ký cược ngắn hạn,17.Các khoản phải trả phải nộp khác ngắn hạn,18. Dự phòng phải trả ngắn hạn,12. Quỹ khen thưởng phúc lợi,II. Nợ phải trả dài hạn,1. Vay và nợ thuê tài sản tài chính dài hạn,2. Vay tài sản tài chính dài hạn,3. Trái phiếu chuyển đổi dài hạn,4. Trái phiếu phát hành dài hạn,5. Phải trả người bán dài hạn,6. Người mua trả tiền trước dài hạn,7. Chi phí phải trả dài hạn,8. Phải trả nội bộ dài hạn,9. Doanh thu chưa thực hiện dài hạn,10. Nhận ký quỹ ký cược dài hạn,11. Các khoản phải trả phải nộp khác dài hạn,12. Dự phòng phải trả dài hạn,13. Dự phòng bồi thường thiệt hại cho nhà đầu tư,14. Thuế thu nhập hoãn lại phải trả,15. Quỹ phát triển khoa học và công nghệ,D. VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,2. Chênh lệch đánh giá tài sản theo giá trị hợp lý,3. Chênh lệch tỷ giá hối đoái,4. Quỹ dự trữ điều lệ,5. Quỹ dự phòng tài chính và rủi ro nghề nghiệp,6. Các Quỹ khác thuộc vốn chủ sở hữu,7. Lợi nhuận chưa phân phối,8. Lợi ích của cổ đông không nắm quyền kiểm soát,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU
2014,2847650339721,2839006076423,8644263298,94058488959,1950000000,70635883064,0,7259749313,14212856582,0,2941708828680,1106419458078,1106419458078,104945276894,0,0,0,0,878169990032,0,28903290975,0,29085766367,7736404299,0,8037914324,0,0,0,48181863792,0,1358951395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1835289370602,1835289370602,1615412636928,0,0,1115098023,0,30416825026,188344810625,0,0,2941708828680
2015,5654926485376,5645605715667,9320769709,102717665474,7500000000,71310089278,0,543000000,23364576196,0,5757644150850,3822212587611,3722212587611,1600656425139,0,0,0,0,1112688941063,0,2262101262,417400000,8449273019,2087430741,0,5165559532,0,0,0,990485456855,0,0,100000000000,100000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935431563239,1935431563239,1615410841427,0,0,10203951542,0,39505678545,270311091725,0,0,5757644150850
2016,5052018587213,4913949115349,138069471864,122074255646,0,64172261590,0,2500000000,55401994056,0,5174092842859,3225829341616,3131529341616,2613806976714,0,0,0,0,472546426921,0,588024693,844691201,19061077930,12835449309,689690314,8440117883,0,0,0,964505522,0,1752381129,94300000000,0,0,0,94300000000,0,0,0,0,0,0,0,0,0,0,0,1948263501243,1948263501243,1525134111427,0,0,48820054976,19518327973,0,354791006867,0,0,5174092842859
2017,7175866857101,7163117754376,12749102725,875518375162,711986325646,59106424602,0,500000000,103925624914,0,8051385232263,5544573884520,5217818566753,4351896422610,0,0,0,0,763730233228,0,2554536055,1713205704,43413068362,28913624165,1659830206,15530988149,0,0,0,2100216713,0,6306441561,326755317767,0,0,0,320000000000,0,0,0,0,0,0,0,0,0,6755317767,0,2506811347743,2506811347743,1621127781027,0,0,69472492286,40170765283,0,776040309147,0,0,8051385232263
2018,10231031388656,10214489951731,16541436925,303609931346,100000000000,72912546977,0,500000000,130197384369,0,10534641320002,7551711467349,7050210912528,6012344898307,0,0,726562200000,0,152425291772,0,2382421715,2535120090,36049127774,6996117562,3028864974,92417509353,0,0,0,607578976,0,14861782005,501500554821,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,1500554821,0,2982929852653,2982929852653,2124680195027,0,0,90351911844,61050184841,0,706847560941,0,0,10534641320002
2019,11239326733659,11222452803928,16873929731,337707594352,116566174695,56499199521,0,500000000,164142220136,0,11577034328011,8328523064489,7923006634070,6553608086436,0,0,700000000000,0,513386234368,0,563459180,14830824853,53298209248,3706278186,4911706497,62924952518,0,0,0,1334572791,0,14442309993,405516430419,0,0,0,403641000000,0,0,0,0,0,0,0,0,0,1875430419,0,3248511263522,3248511263522,2124678479777,0,0,110445504860,81143777857,0,932243501028,0,0,11577034328011
2020,13218965736101,13204833971010,14131765091,1757118576000,1542991011200,44263758743,0,7272564445,162591241612,0,14976084312101,11156839754591,11040183675876,9458280000000,0,0,600000000000,0,413365510220,0,3273109337,9257294675,94316827771,17601169486,5880048035,46410143983,0,2126250000,0,378753388146,0,10919934223,116656078715,0,0,0,103641000000,0,0,0,0,0,0,0,0,0,13015078715,0,3819244557510,3819244557510,2124147577527,0,0,136055521001,106753793998,0,1452287664984,0,0,14976084312101
2021,36627504409064,36524166074028,103338335036,467270064831,341861291200,56652975515,,2490919207,66264878909,,37094774473895,27272291634249,26361375576158,20448678287066,,,500000000000,,1110406844383,,6151126805,30293534231,222439403897,47240893263,8602348300,98108180904,,,,3878535023086,90000000000,10919934223,910916058091,,,,750000000000,,,,,,,,,,160916058091,,9822482839646,9822482839646,5852916394577,,,221639395172,192337668169,,3555589381728,,,37094774473895
2022,38670054790553,38570066191687,99988598866,200549712553,29539479928,77709397249,,8946501017,84354334359,,38870604503106,24355935574377,23529065436639,19311982646239,,,850000000000,,888308885785,,16695755375,17729368098,203885550785,19124660577,3773640259,217587708089,,,,1852723702440,,147253518992,826870137738,,,,800000000000,,,,,,,,,,26870137738,,14514668928729,14514668928729,12178029987590,,,849818470,849818470,,2334939304199,,,38870604503106
2023,40414384838078,40278851863343,135532974735,1327705333288,1160966673916,106034003084,,2546865013,58157791275,,41742090171366,25234270644372,24736424516683,20468484164989,,,400000000000,,821595397087,,65658430298,20574256848,243387566722,28043562100,4029025381,150575598290,,,,2371435512100,,72641002868,497846127689,,,,400000000000,,,,,,,,,,97846127689,,16507819526994,16507819526994,12178398511540,,,,,,4329421015454,,,41742090171366
