,1. Lợi nhuận trước Thuế Thu nhập doanh nghiệp,2. Điều chỉnh cho các khoản:,- Khấu hao TSCĐ,- Các khoản dự phòng,(- Lãi) hoặc (+ lỗ) chênh lệch tỷ giá hối đoái chưa thực hiện,- Chi phí phải trả chi phí trả trước,- Lãi lỗ từ hoạt động đầu tư (đầu tư công ty con liên doanh liên kết),- Dự thu tiền lãi,- Các khoản điều chỉnh khác,3. Tăng các chi phí phi tiền tệ,- Lỗ đánh giá giá trị các tài sản tài chính ghi nhận thông qua kết quả kinh doanh,- Lỗ đánh giá giá trị các công nợ tài chính ghi nhận thông qua kết quả kinh doanh,- Lỗ đánh giá giá trị các công cụ tài chính phái sinh,- Lỗ từ thanh lý các tài sản tài chính sẵn sàng để bán,- Suy giảm giá trị của các tài sản tài chính sẵn sàng để bán,- Lỗ đánh giá giá trị các công cụ tài chính phái sinh cho mục đích phòng ngừa rủi ro,- Lỗ từ thanh lý tài sản cố định,- Suy giảm giá trị của các tài sản cố định,- Lỗ từ thanh lý các khoản đầu tư vào công ty con và công ty liên doanh liên kết,4. Giảm các doanh thu phi tiền tệ,- Lãi đánh giá giá trị các tài sản tài chính ghi nhận thông qua kết quả kinh doanh,- Lãi đánh giá giá trị các công nợ tài chính thông qua kết quả kinh doanh,- Lãi từ thanh lý các tài sản tài chính sẵn sàng để bán,- Hoàn nhập suy giảm giá trị của các tài sản tài chính sẵn sàng để bán,- Lãi đánh giá giá trị các công cụ tài chính phái sinh cho mục đích phòng ngừa,- Lãi từ thanh lý các khoản cho vay và phải thu,- Hoàn nhập chi phí dự phòng,- Lãi từ thanh lý tài sản cố định BĐSĐT,- Lãi từ thanh lý các khoản đầu tư vào công ty con và công ty liên doanh liên kết,5. Thay đổi tài sản và nợ phải trả hoạt động,- Tăng (giảm) tài sản tài chính ghi nhận thông qua lãi lỗ,- Tăng (giảm) các khoản đầu tư giữ đến ngày đáo hạn,- Tăng (giảm) các khoản cho vay,- Tăng (giảm) tài sản tài chính sẵn sàng để bán,- Tăng (giảm) các tài sản khác,- Tăng (giảm) các khoản phải thu,- Tăng (giảm) vay và nợ thuê tài sản tài chính,- Tăng (giảm) vay tài sản tài chính,- Tăng (giảm) Trái phiếu chuyển đổi - Cấu phần nợ,- Tăng (giảm) Trái phiếu phát hành,- Tăng (giảm) vay Quỹ Hỗ trợ thanh toán,6. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,(-) Tăng (+) giảm phải thu bán các tài sản tài chính,(-) Tăng (+) giảm phải thu tiền lãi các tài sản tài chính,(-) Tăng (+) giảm các khoản phải thu các dịch vụ CTCK cung cấp,(-) Tăng (+) giảm các khoản phải thu về lỗi giao dịch chứng khoán,(-) Tăng (+) giảm các khoản phải thu khác,(+) Tăng (-) giảm phải trả cho người bán,(+) Tăng (-) giảm phải trả Tổ chức phát hành chứng khoán,(+) Tăng (-) giảm thuế và các khoản phải nộp Nhà nước,(+) Tăng (-) giảm phải trả phải nộp khác,(+) Tăng (-) giảm Thuế TNDN CTCK đã nộp,- Tiền thu khác từ hoạt động kinh doanh,- Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Tiền chi để mua sắm xây dựng TSCĐ BĐSĐT và các tài sản khác,2. Tiền thu từ thanh lý nhượng bán TSCĐ BĐSĐT và các tài sản khác,3. Tiền chi đầu tư vốn vào công ty con công ty liên doanh liên kết và đầu tư khác,4. Tiền thanh lý các khoản đầu tư vào công ty con công ty liên doanh liên kết và đầu tư khác,5.Tiền thu về cổ tức và lợi nhuận được chia,Lưu chuyển tiền thuần từ hoạt động đầu tư,1. Tiền thu từ phát hành cổ phiếu nhận vốn góp của chủ sở hữu,2. Tiền chi trả vốn góp cho chủ sở hữu mua lại cổ phiếu quỹ,3. Tiền vay gốc,3.1. Tiền vay Quỹ Hỗ trợ thanh toán,3.2. Tiền vay khác,4. Tiền chi trả nợ gốc vay,4.1. Tiền chi trả gốc vay Quỹ Hỗ trợ thanh toán,4.2. Tiền chi trả nợ gốc vay tài sản tài chính,4.3. Tiền chi trả gốc nợ vay khác,5. Tiền chi trả nợ thuê tài chính,6. Cổ tức lợi nhuận đã trả cho chủ sở hữu,Lưu chuyển tiền thuần từ hoạt động tài chính,IV. Tăng/giảm tiền thuần trong kỳ,V. Tiền và các khoản tương đương tiền đầu kỳ,Tiền gửi ngân hàng đầu kỳ,- Tiền gửi ngân hàng cho hoạt động CTCK,Các khoản tương đương tiền,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,VI. Tiền và các khoản tương đương tiền cuối kỳ,Tiền gửi ngân hàng cuối kỳ,- Tiền gửi ngân hàng cho hoạt động CTCK,Các khoản tương đương tiền,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ
2014,192373874268,-15286793461,12184237830,-2503403974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1755146552871,-953088587067,0,-166895676959,-505217416861,-129944871984,0,0,0,0,0,0,-581445945349,-9320078700,-7936656345,-6086112168,0,-488963626,-1674076569,0,2229563571,-525669754121,-32499867391,0,0,129183934351,-62398568104,0,-48802628200,48000000000,26140790256,-37060406048,499994000000,51087250500,-28353586359,0,0,-48468182000,0,0,0,0,0,474259482141,566383010444,1115371813903,199231759147,199231759147,1353434333333,0,1681754824347,173958791274,173958791274,83000000000,0
2015,227051832270,-15286793461,16651047102,-80266249425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1755146552871,-953088587067,0,-166895676959,-505217416861,-129944871984,0,0,0,0,0,0,-581445945349,-9320078700,-7936656345,-6086112168,0,-488963626,-1674076569,0,2229563571,-525669754121,-32499867391,0,0,-535429862475,-10608504003,0,-10320347664000,10298546864000,14393486854,-18015817149,99998204500,1495711148245,0,0,0,0,0,0,0,0,-77498900000,1518210452745,964764773121,1681754824347,199231759147,199231759147,1353434333333,0,2646519597468,173958791274,173958791274,83000000000,0
2016,227169637352,-15286793461,18353403690,-33640197151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1755146552871,-953088587067,0,-166895676959,-505217416861,-129944871984,0,0,0,0,0,0,-581445945349,-9320078700,-7936656345,-6086112168,0,-488963626,-1674076569,0,2229563571,-525669754121,-32499867391,0,0,-2124709654329,-13172576002,0,0,0,0,-13172576002,0,-90276730000,32539803994558,0,32539803994558,-31526653442983,0,0,-31526653442983,-5700000000,-74998892450,842174929125,-1295707301206,1552666092480,199231759147,199231759147,1353434333333,0,256958791274,173958791274,173958791274,83000000000,0
2017,571474259998,216529984627,19137603000,6217382964,0,191174998663,0,0,0,0,0,0,0,0,0,0,0,0,0,-33776588832,-33776588832,0,0,0,0,0,0,0,0,-2747646575018,-407082267117,-847715032772,-1219060983166,-217053783139,-56734508824,0,0,0,0,0,0,33073284765,-3407011400,-14741743825,7317124296,0,-7393346535,1966511362,0,10908493230,284447882267,-79244516114,22260927539,-189041036055,-1960345634460,-12071766012,0,-1854268005,0,0,-13926034017,129611184000,-33617514400,55291361622210,0,55291361622210,-53327572176314,0,0,-53327572176314,0,0,2059783115496,85511447019,256958791274,173958791274,173958791274,83000000000,0,342470238293,241470238293,241470238293,101000000000,0
2018,437999039035,479816514046,21958681733,169741593659,-826465877,286523253543,2419450988,0,0,26273814727,26273814727,0,0,0,0,0,0,0,0,-88662183838,0,0,0,0,0,-88662183838,0,0,0,-1994063971081,77705135034,-2913114967228,472647146224,360991097759,7707617130,0,0,0,0,0,0,-992805255986,-48779826089,-25815081476,0,0,60339589602,-611477055796,0,-1147181885,-33974228168,-100042353412,1369034768,-233278153530,-2131442043097,-35764804108,0,0,0,36360000000,595195892,504584770000,-152026526000,98249324343698,0,98249324343698,-95681488668001,0,0,-95681488668001,0,-216619554050,2703774365647,572927518442,342470238293,241470238293,241470238293,101000000000,0,915397756735,507397756735,507397756735,408000000000,0
2019,479550976579,492684262416,20716375564,33838699883,-535741671,436245477652,0,0,2419450988,1372538765,1372538765,0,0,0,0,0,0,0,0,-3246916760,-3246916760,0,0,0,0,0,0,0,0,-1314850822855,-406909890674,-181583266339,-304597792031,-396028651474,-25731222337,0,0,0,0,0,0,-257277885705,45792633850,-104964731530,0,0,-1790669656,353437151923,0,-5282652984,9010225326,-78926809123,3349818643,-477902852154,-601767847560,-4312719774,9691666,-34777283600,25286250000,0,-13794061708,9600000,-1715250,183184482060977,0,183184482060977,-182766675072848,0,0,-182766675072848,0,-104092915000,313712357879,-301849551389,915397756735,507397756735,507397756735,408000000000,0,613548205346,611548205346,611548205346,2000000000,0
2020,862064826327,409961134125,20138319816,18568835148,0,368827899540,0,0,2426079621,-67029484412,-67029484412,0,0,0,0,0,0,0,0,-124397227337,-124397227337,0,0,0,0,0,0,0,0,-2786232130875,363557937247,856713266339,-1818881683298,-2180378113642,-7243537521,0,0,0,0,0,0,-408921620380,-78628572053,14160734820,0,0,-31668149564,-97311073991,0,22990658690,265241729069,-138835667283,20471428007,-385342708075,-2114554502552,-12322500463,0,-1499977600,0,0,-13822478063,3112926543000,-540502250,131729124766675,0,131729124766675,-129224452853111,0,0,-129224452853111,0,-120992778729,2383148232585,254771251970,718755635704,716755635704,716755635704,2000000000,0,973526887674,887704080066,887704080066,85822807608,0
2021,2980220642291,543589323907,22529535908,73997595421,30931094089,413711647501,0,0,2419450988,408951704440,408951704440,0,0,0,0,0,0,0,0,-1281667461469,-1281667461469,0,0,0,0,0,0,0,0,-19358910283758,-462158100027,-833800000000,-10767591025726,-7290573999171,-4787158834,0,0,0,0,0,0,3348331317127,11854068392,-134809044721,0,0,-111419202828,23914257024,0,68599486829,4202759758361,-372575721130,52303924639,-392296209439,-13359484757462,-29034338692,0,-10870280000,0,0,-39904618692,4349444780000,615842274050,164528566498797,0,164528566498797,-153022654211731,0,0,-153022654211731,0,-107257259000,15127423845116,1728034468962,973526887674,887704080066,887704080066,85822807608,0,2701561356636,2094329942266,2094329942266,607231414370,
2022,1535277183873,1102265883808,28025690373,89850875226,23167257928,958802609293,-5000000000,,2419450988,1451565245595,1449484445523,,2080800072,0,,,,,,-820328144574,-820328144574,,,,,,,,,-674837293238,-7104514898960,11900000000,6412729056103,,5048549619,,,,,,,-5657079609488,-1561046241880,-290013873472,,,-85741971771,-11827943537,,-30172588200,-2267923676755,-436688268563,2531206550,-976196251860,-3063136734024,-57696934951,,-18100000000,12625646807,0,-63171288144,368523950,-274571800,80100985020249,,80100985020249,-80859764230697,,,-80859764230697,,-608921803500,2981469194252,-144838827916,2701561356636,2094329942266,2094329942266,607231414370,,2556722528720,1877509173088,1877509173088,679213355632,
2023,2482342451973,1475847983210,45094916569,1090758394,-9743209479,1444405517726,,,,954150035577,952520038676,,1629996901,,,,,,,-1162694676704,-1162694676704,,,,,,,,,-1556258921287,1745022069528,-2033995000000,-1224976085241,,-42309905574,,,,,,,-18367949708,1630228167138,-323949568229,,,-5643411057,56191302459,,-23565308436,536731422503,-349911964805,42786324006,-1581234913287,2175018923061,-67189121400,,-181134789000,165000000000,,-83323910400,,,86884568962506,,86884568962506,-86573031464639,,,-86573031464639,,,311906021817,2403601034478,2458387244559,1788175744559,1788175744559,670211500000,,4861988279037,2667988279037,2667988279037,2194000000000,
