,1.1. Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),a. Lãi bán các tài sản tài chính,b. Chênh lệch tăng đánh giá lại các TSTC thông qua lãi/lỗ,c. Cổ tức tiền lãi phát sinh từ tài sản tài chính PVTPL,1.2. Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),1.3. Lãi từ các khoản cho vay và phải thu,1.4. Lãi từ các tài sản tài chính sẵn sàng để bán (AFS),1.5. Lãi từ các công cụ phái sinh phòng ngừa rủi ro,1.6. Doanh thu môi giới chứng khoán,1.7. Doanh thu bảo lãnh đại lý phát hành chứng khoán,1.8. Doanh thu tư vấn,1.9. Doanh thu hoạt động nhận ủy thác đấu giá,1.10. Doanh thu lưu ký chứng khoán,1.11. Thu nhập hoạt động khác,Cộng doanh thu hoạt động,2.1. Lỗ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),a. Lỗ bán các tài sản tài chính,b. Chênh lệch giảm đánh giá lại các TSTC thông qua lãi/lỗ,c. c.Chi phí giao dịch mua các tài sản tài chính FVTPL,2.2. Lỗ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),2.3. Chi phí lãi vay lỗ từ các khoản cho vay và phải thu,2.4. Lỗ bán các tài sản tài chính sẵn sàng để bán (AFS),2.5. Lỗ từ các tài sản tài chính phái sinh phòng ngừa rủi ro,2.6. Chi phí hoạt động tự doanh,2.7. Chi phí môi giới chứng khoán,2.8. Chi phí hoạt động bảo lãnh đại lý phát hành chứng khoán,2.9. Chi phí tư vấn,2.10. Chi phí hoạt động đấu giá ủy thác,2.11. Chi phí lưu ký chứng khoán,2.12. Chi phí khác,Trong đó: Chi phí sửa lỗi giao dịch chứng khoán lỗi khác,Cộng chi phí hoạt động,3.1. Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện,3.2. Doanh thu dự thu cổ tức lãi tiền gửi không cố định phát sinh trong kỳ,3.3. Lãi bán thanh lý các khoản đầu tư vào công ty con liên kết liên doanh,3.4. Doanh thu khác về đầu tư,Cộng doanh thu hoạt động tài chính,4.1. Chênh lệch lỗ tỷ giá hối đoái đã và chưa thực hiện,4.2. Chi phí lãi vay,4.3. Lỗ bán thanh lý các khoản đầu tư vào công ty con liên kết liên doanh,4.4. Chi phí đầu tư khác,Cộng chi phí tài chính,V. CHI BÁN HÀNG,VI. CHI PHÍ QUẢN LÝ CÔNG TY CHỨNG KHOÁN,VII. KẾT QUẢ HOẠT ĐỘNG,8.1. Thu nhập khác,8.2. Chi phí khác,Cộng kết quả hoạt động khác,IX. TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ,9.1. Lợi nhuận đã thực hiện,9.2. Lợi nhuận chưa thực hiện,X. CHI PHÍ THUẾ TNDN,10.1. Chi phí thuế TNDN hiện hành,10.2. Chi phí thuế TNDN hoãn lại,XI. LỢI NHUẬN KẾ TOÁN SAU THUẾ TNDN,11.1. Lợi nhuận sau thuế phân bổ cho chủ sở hữu,11.2. Lợi nhuận sau thuế trích các Quỹ dự trữ điều lệ Quỹ Dự phòng tài chính và rủi ro nghề nghiệp theo quy định của Điều lệ Công ty là %),11.3. Lợi nhuận thuần phân bổ cho lợi ích của cổ đông không kiểm soát,XII. THU NHẬP (LỖ) TOÀN DIỆN KHÁC SAU THUẾ TNDN,12.1. Lãi/(Lỗ) từ đánh giá lại các các khoản đầu tư giữ đến ngày đáo hạn,12.2.Lãi/(Lỗ) từ đánh giá lại các tài sản tài chính sẵn sàng để bán,12.3. Lãi (lỗ) toàn diện khác được chia từ hoạt động đầu tư vào công ty con công ty liên kết liên doanh,12.4. Lãi/(Lỗ) từ đánh giá lại các công cụ tài chính phái sinh,12.5. Lãi/(lỗ) chênh lệch tỷ giá của hoạt động tại nước ngoài,12.6. Lãi lỗ từ các khoản đầu tư vào công ty con công ty liên kết liên doanh chưa chia,12.7. Lãi lỗ đánh giá công cụ phái sinh,12.8. Lãi lỗ đánh giá lại tài sản cố định theo mô hình giá trị hợp lý,Tổng thu nhập toàn diện,Thu nhập toàn diện phân bổ cho chủ sở hữu,Thu nhập toàn diện phân bổ cho cổ đông không nắm quyền kiểm soát
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323383344577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192166918921,0,192166918921,0,0,0,0,0,0,0,0,0,0,0,25726359800,130995639905,805662082,0,805662082,131801301987,131801301987,0,35924133172,35924133172,0,95877168815,95877168815,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204780892022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273932150363,0,273932150363,0,0,0,0,0,0,0,0,0,0,0,25870032749,-85737620677,-429090411,0,-429090411,-86166711088,-86166711088,0,0,0,0,-86166711088,-86166711088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,244082003477,0,0,0,63652284952,0,2651083465,0,0,49542531218,359904955894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85194335200,0,85194335200,0,0,0,0,0,0,0,0,0,0,0,47575852161,227134768533,3207809155,2449754697,758054458,227892822991,227892822991,0,16194023915,16194023915,0,211698799076,211698799076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,128142581732,0,0,0,105228733199,0,4254613418,0,0,233121833487,470747761836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244404593922,0,244404593922,0,0,0,0,0,0,0,0,0,0,0,84887179093,141455988821,861829495,1313153313,-451323818,141004665003,141004665003,0,35851893495,35851893495,0,105152771508,105152771508,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,1954923394,0,0,0,45620891453,0,800244755,0,181590573,228087641575,276645291750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402553424734,0,402553424734,0,0,0,0,0,0,0,0,0,0,0,71881383789,-197789516773,72791551,10026494409,-9953702858,-207743219631,-207743219631,0,-4785091805,-4785091805,0,-202958127826,-202958127826,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,14934040107,0,0,0,61981014138,0,542545454,0,789073772,162630349761,240877023232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96983057552,0,96983057552,0,0,0,0,0,0,0,0,0,0,0,65789407448,78104558232,600289076,67323918,532965158,78637523390,78637523390,0,0,0,0,78637523390,78637523390,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,62115574728,0,0,0,82634065201,0,910454544,0,1624805807,115334105058,262619005338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47278509481,0,47278509481,0,0,0,0,0,0,0,0,0,0,0,83443617101,131896878756,1108385724,117506,1108268218,133005146974,133005146974,0,8578119068,8578119068,0,124427027906,124427027906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,52887832607,0,0,0,185527928877,0,7125781309,0,2393612408,187354967498,435290122699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116988878488,0,116988878488,0,0,0,0,0,0,0,0,0,0,0,128301736286,189999507925,2619327244,244960901,2374366343,192373874268,192373874268,0,35026429962,35026429962,0,157347444306,157347444306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,82125585690,0,0,0,146846247768,0,9662894352,0,4433958959,291054691314,534123378083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143454474873,0,143454474873,0,0,0,0,0,0,0,0,0,0,0,167599772328,223069130882,3983979200,1277812,3982701388,227051832270,227051832270,0,45274761889,45274761889,0,181777070381,181777070381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,219870540214,54255247317,0,165615292897,0,208501530085,84230199113,0,188635635565,0,20423547733,0,6108873358,3621908771,731392234839,54019840869,99741249977,-48169905754,2448496646,0,14529708603,4080122969,0,0,112546304711,0,2267315000,0,8531903602,0,0,195975195754,0,15154168846,0,0,15154168846,0,119137279540,0,0,119137279540,0,204690920372,226743008019,3542376976,3115747643,426629333,227169637352,227169637352,0,40882108731,40882108731,0,186287528621,186287528621,0,0,0,0,0,0,0,0,0,0,0,0,0,0
